Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
R317,0603,50.300000mm,-52.000000mm,50.300000mm,-52.000000mm,50.300000mm,-51.250000mm,B,90,10
U302,QFN16_3_EP,46.650000mm,-53.550000mm,46.650000mm,-53.550000mm,45.900096mm,-55.094995mm,T,90,unknown
R321,0402,51.800000mm,-51.100000mm,51.800000mm,-51.100000mm,51.800000mm,-51.600000mm,B,-90,50
L301,0603,51.500000mm,-54.300000mm,51.500000mm,-54.300000mm,52.250000mm,-54.300000mm,T,0,rffb
L300,0603,51.500000mm,-52.700000mm,51.500000mm,-52.700000mm,52.250000mm,-52.700000mm,T,0,rffb
C301,0603,48.000000mm,-57.100000mm,48.000000mm,-57.100000mm,48.750000mm,-57.100000mm,B,0,10u
C312,0603,53.200000mm,-51.100000mm,53.200000mm,-51.100000mm,53.200000mm,-50.350000mm,B,90,220n
C316,0603,53.200000mm,-55.699969mm,53.200000mm,-55.699969mm,53.200000mm,-54.949969mm,B,90,220n
U309,mxd8641,50.720000mm,-58.000000mm,50.720000mm,-58.000000mm,50.050000mm,-59.050000mm,T,90,unknown
C302,0402,52.000000mm,-58.400000mm,52.000000mm,-58.400000mm,51.546850mm,-58.188700mm,B,155,470n
U301,mxd8641,42.800000mm,-57.320000mm,42.800000mm,-57.320000mm,41.750000mm,-56.650000mm,T,0,unknown
CONN1,custom_sma4,22.000000mm,-24.500000mm,22.000000mm,-24.500000mm,22.000000mm,-24.500000mm,B,-90,unknown
T552,cx2156nl,51.800000mm,-26.400000mm,51.800000mm,-26.400000mm,54.000000mm,-27.900000mm,T,90,unknown
G302,shield_15.6_14.6,47.500000mm,-55.500000mm,47.500000mm,-55.500000mm,47.500000mm,-62.800000mm,B,0,unknown
C303,0805,44.100000mm,-60.800000mm,44.100000mm,-60.800000mm,45.150000mm,-60.800000mm,B,0,10u
C313,0603,45.174100mm,-57.603400mm,45.174100mm,-57.603400mm,44.799088mm,-58.252900mm,B,-120,10u
R301,0402,61.800000mm,-64.500000mm,61.800000mm,-64.500000mm,62.300000mm,-64.500000mm,B,0,470
C304,0402,43.200000mm,-58.500000mm,43.200000mm,-58.500000mm,43.200000mm,-58.000000mm,B,90,330p
C305,0402,42.100000mm,-57.800000mm,42.100000mm,-57.800000mm,42.100000mm,-57.300000mm,B,90,470n
R302,0402,61.800000mm,-63.400000mm,61.800000mm,-63.400000mm,62.300000mm,-63.400000mm,B,0,220
C5,0402,41.800000mm,-41.600000mm,41.800000mm,-41.600000mm,42.300000mm,-41.600000mm,B,0,330p
U2,mxd8641,40.270000mm,-41.600000mm,40.270000mm,-41.600000mm,39.600000mm,-42.650000mm,T,90,unknown
C4,0402,40.400000mm,-42.900000mm,40.400000mm,-42.900000mm,40.113216mm,-42.490450mm,B,125,470n
C504,0402,52.500000mm,-40.700000mm,52.500000mm,-40.700000mm,52.500000mm,-41.200000mm,B,-90,470n
U501,tcxo3225,52.800000mm,-44.950000mm,52.800000mm,-44.950000mm,51.500000mm,-45.900000mm,T,90,unknown
C503,0603,55.900000mm,-40.000000mm,55.900000mm,-40.000000mm,56.650000mm,-40.000000mm,B,0,10u
U502,MSOP10,52.800000mm,-41.000000mm,52.800000mm,-41.000000mm,55.000000mm,-42.000000mm,T,90,unknown
C501,0402,54.570700mm,-41.629300mm,54.570700mm,-41.629300mm,54.924250mm,-41.982850mm,B,-45,220n
R501,0402,50.400000mm,-46.100000mm,50.400000mm,-46.100000mm,50.900000mm,-46.100000mm,B,0,220
C505,0603,50.400000mm,-43.400000mm,50.400000mm,-43.400000mm,50.400000mm,-44.150000mm,B,-90,10u
R3,0402,42.900000mm,-44.000000mm,42.900000mm,-44.000000mm,42.900000mm,-44.500000mm,B,-90,220
R4,0402,45.200000mm,-44.400000mm,45.200000mm,-44.400000mm,45.700000mm,-44.400000mm,B,0,470
U3,mxd8641,62.920000mm,-22.500000mm,62.920000mm,-22.500000mm,62.250000mm,-23.550000mm,T,90,unknown
R5,0402,65.100000mm,-25.000000mm,65.100000mm,-25.000000mm,65.100000mm,-25.500000mm,B,-90,220
C7,0402,63.600000mm,-23.000000mm,63.600000mm,-23.000000mm,63.600000mm,-22.500000mm,B,90,470n
R6,0402,66.200000mm,-24.900000mm,66.200000mm,-24.900000mm,66.200000mm,-25.400000mm,B,-90,470
C610,0402,77.300000mm,-31.800000mm,77.300000mm,-31.800000mm,77.300000mm,-32.300000mm,B,-90,470n
C606,0402,71.400000mm,-36.500000mm,71.400000mm,-36.500000mm,70.900000mm,-36.500000mm,B,-180,220n
C609,0402,72.800000mm,-29.100000mm,72.800000mm,-29.100000mm,73.300000mm,-29.100000mm,B,0,1n
R603,0402,70.600000mm,-29.000000mm,70.600000mm,-29.000000mm,70.600000mm,-29.500000mm,B,-90,470
C616,0402,78.300000mm,-28.400000mm,78.300000mm,-28.400000mm,77.800000mm,-28.400000mm,B,-180,470n
C613,0603,73.900000mm,-23.800000mm,73.900000mm,-23.800000mm,73.150000mm,-23.800000mm,B,-180,10u
R602,0402,72.800000mm,-30.100000mm,72.800000mm,-30.100000mm,72.300000mm,-30.100000mm,B,-180,4.7k
C605,0402,71.900000mm,-32.700000mm,71.900000mm,-32.700000mm,71.900000mm,-33.200000mm,B,-90,330p
C602,0402,70.800000mm,-31.500000mm,70.800000mm,-31.500000mm,70.800000mm,-32.000000mm,B,-90,330p
C608,0402,72.800000mm,-28.100000mm,72.800000mm,-28.100000mm,73.300000mm,-28.100000mm,B,0,220n
C601,0402,72.800000mm,-31.100000mm,72.800000mm,-31.100000mm,73.300000mm,-31.100000mm,B,0,220n
C607,0402,71.500000mm,-26.600000mm,71.500000mm,-26.600000mm,71.500000mm,-26.100000mm,B,90,330p
C612,0402,74.000000mm,-27.000000mm,74.000000mm,-27.000000mm,74.353550mm,-27.353550mm,B,-45,220n
C603,0402,73.600000mm,-32.199984mm,73.600000mm,-32.199984mm,74.009550mm,-31.913200mm,B,35,220n
C604,0402,75.300000mm,-32.100000mm,75.300000mm,-32.100000mm,75.170550mm,-32.583000mm,B,-105,470n
C617,0402,76.300000mm,-27.000000mm,76.300000mm,-27.000000mm,76.300000mm,-27.500000mm,B,-90,220n
R606,0402,76.700000mm,-23.800000mm,76.700000mm,-23.800000mm,76.450000mm,-23.367032mm,B,120,50
L604,0603,74.600000mm,-23.800000mm,74.600000mm,-23.800000mm,74.600000mm,-23.050000mm,T,90,rffb
L603,0603,76.300000mm,-23.800000mm,76.300000mm,-23.800000mm,76.300000mm,-23.050000mm,T,90,rffb
C614,0402,75.500000mm,-25.200000mm,75.500000mm,-25.200000mm,75.117000mm,-25.521403mm,B,-140,220n
R605,0402,80.200000mm,-26.700000mm,80.200000mm,-26.700000mm,80.200000mm,-26.200000mm,B,90,120
C615,0402,78.599600mm,-26.608700mm,78.599600mm,-26.608700mm,78.101500mm,-26.565150mm,B,175,10n
C611,0402,79.400000mm,-25.300000mm,79.400000mm,-25.300000mm,79.853150mm,-25.088700mm,B,25,470n
R604,0402,81.300000mm,-25.700000mm,81.300000mm,-25.700000mm,81.300000mm,-25.200000mm,B,90,470
C618,0402,71.242600mm,-24.218100mm,71.242600mm,-24.218100mm,70.955816mm,-23.808550mm,B,125,1n
U601,custom_qfn32,75.450100mm,-29.449900mm,75.450100mm,-29.449900mm,78.100100mm,-31.199950mm,T,180,unknown
U401,custom_qfn32,63.949900mm,-53.450100mm,63.949900mm,-53.450100mm,61.299900mm,-51.700050mm,T,0,unknown
R338,0402,93.800000mm,-54.700000mm,93.800000mm,-54.700000mm,93.800000mm,-55.200000mm,B,-90,1.5k
C337,0402,58.900000mm,-43.200000mm,58.900000mm,-43.200000mm,59.400000mm,-43.200000mm,B,0,1n
R331,0402,88.100000mm,-47.200000mm,88.100000mm,-47.200000mm,88.100000mm,-46.700000mm,B,90,220
U303,LQFP48_7,91.450000mm,-49.250000mm,91.450000mm,-49.250000mm,94.199800mm,-45.051634mm,T,270,unknown
C326,0402,93.800000mm,-50.900000mm,93.800000mm,-50.900000mm,94.300000mm,-50.900000mm,B,0,470n
LED301,0603,95.400000mm,-57.100000mm,95.400000mm,-57.100000mm,94.650000mm,-57.100000mm,B,-180,blue
C329,0402,93.500000mm,-46.900000mm,93.500000mm,-46.900000mm,93.500000mm,-47.400000mm,B,-90,470n
C327,0402,90.600000mm,-45.800000mm,90.600000mm,-45.800000mm,90.100000mm,-45.800000mm,B,-180,470n
C328,0402,89.000000mm,-52.000000mm,89.000000mm,-52.000000mm,88.500000mm,-52.000000mm,B,-180,470n
R329,0402,90.900000mm,-48.200000mm,90.900000mm,-48.200000mm,90.900000mm,-47.700000mm,B,90,10k
R330,0402,91.900000mm,-47.200000mm,91.900000mm,-47.200000mm,91.900000mm,-46.700000mm,B,90,10k
C320,0402,76.300000mm,-53.900000mm,76.300000mm,-53.900000mm,76.800000mm,-53.900000mm,B,0,470n
C325,0603,85.800000mm,-47.900000mm,85.800000mm,-47.900000mm,85.050000mm,-47.900000mm,B,-180,10u
R325,0402,76.600000mm,-51.300000mm,76.600000mm,-51.300000mm,76.600000mm,-51.800000mm,B,-90,4.7k
R324,0402,75.000000mm,-50.800000mm,75.000000mm,-50.800000mm,74.500000mm,-50.800000mm,B,-180,120
R328,0402,82.900000mm,-52.700000mm,82.900000mm,-52.700000mm,82.900000mm,-52.200000mm,B,90,470
U304,SO8,78.000000mm,-51.300000mm,78.000000mm,-51.300000mm,80.603500mm,-53.205000mm,T,180,unknown
C317,0603,73.800000mm,-52.300000mm,73.800000mm,-52.300000mm,73.050000mm,-52.300000mm,B,-180,10u
C321,0603,79.700000mm,-53.600000mm,79.700000mm,-53.600000mm,80.450000mm,-53.600000mm,B,0,10u
R305,0402,76.500000mm,-55.100000mm,76.500000mm,-55.100000mm,76.000000mm,-55.100000mm,B,-180,120
R303,0402,78.800000mm,-55.300000mm,78.800000mm,-55.300000mm,79.300000mm,-55.300000mm,B,0,50
R304,0402,79.500000mm,-57.200000mm,79.500000mm,-57.200000mm,80.000000mm,-57.200000mm,B,0,220
C322,0402,77.300000mm,-56.800000mm,77.300000mm,-56.800000mm,77.800000mm,-56.800000mm,B,0,470n
U305,mxd8641,78.100000mm,-56.020000mm,78.100000mm,-56.020000mm,77.050000mm,-55.350000mm,T,0,unknown
C710,0805,79.200000mm,-43.800000mm,79.200000mm,-43.800000mm,79.200000mm,-44.850000mm,B,-90,10u
C619,0603,75.600000mm,-36.600000mm,75.600000mm,-36.600000mm,74.850000mm,-36.600000mm,B,-180,10u
C112,0805,72.200000mm,-42.000000mm,72.200000mm,-42.000000mm,73.250000mm,-42.000000mm,B,0,22u
L111,1008,71.700000mm,-43.300000mm,71.700000mm,-43.300000mm,71.700000mm,-44.599972mm,T,90,2.2u
U111,SOT26,75.141400mm,-43.290600mm,75.141400mm,-43.290600mm,74.100000mm,-42.300000mm,T,180,unknown
C111,0805,73.600000mm,-44.600000mm,73.600000mm,-44.600000mm,74.650000mm,-44.600000mm,B,0,22u
R601,0402,80.100000mm,-34.100000mm,80.100000mm,-34.100000mm,80.100000mm,-34.600050mm,B,-90,2.2k
LED302,0603,91.000000mm,-54.600000mm,91.000000mm,-54.600000mm,90.250000mm,-54.600000mm,B,-180,red
U4,SOT23,82.158600mm,-43.209398mm,82.158600mm,-43.209398mm,83.199922mm,-44.199998mm,T,0,unknown
C502,0805,52.600000mm,-44.300000mm,52.600000mm,-44.300000mm,52.600000mm,-43.250000mm,B,90,22u
R560,0402,24.900000mm,-31.800000mm,24.900000mm,-31.800000mm,24.900000mm,-32.300000mm,B,-90,470
C552,0402,26.400000mm,-30.100000mm,26.400000mm,-30.100000mm,25.900000mm,-30.100000mm,B,-180,330p
C551,0402,26.700000mm,-28.400000mm,26.700000mm,-28.400000mm,27.200000mm,-28.400000mm,B,0,470n
U551,mxd8641,27.580000mm,-29.100000mm,27.580000mm,-29.100000mm,28.250000mm,-28.050000mm,T,270,unknown
C1,0603,26.100000mm,-25.300000mm,26.100000mm,-25.300000mm,26.416902mm,-25.979693mm,B,-65,10u
C553,0402,26.500000mm,-32.000000mm,26.500000mm,-32.000000mm,26.000000mm,-32.000000mm,B,-180,330p
R562,0402,26.000000mm,-33.600000mm,26.000000mm,-33.600000mm,26.000000mm,-34.100000mm,B,-90,470
R563,0402,28.300000mm,-29.900000mm,28.300000mm,-29.900000mm,28.300000mm,-29.400000mm,B,90,50
R2,0402,44.400000mm,-42.000000mm,44.400000mm,-42.000000mm,44.046450mm,-42.353581mm,B,-135,470
R1,0402,45.200000mm,-42.900000mm,45.200000mm,-42.900000mm,44.846450mm,-43.253581mm,B,-135,220
C622,0402,82.100000mm,-30.100000mm,82.100000mm,-30.100000mm,82.600000mm,-30.100000mm,B,0,330p
C621,0402,82.100000mm,-31.700000mm,82.100000mm,-31.700000mm,82.600000mm,-31.700000mm,B,0,330p
R609,0402,83.800000mm,-40.500000mm,83.800000mm,-40.500000mm,83.800000mm,-41.000000mm,B,-90,470
R608,0402,82.700000mm,-40.500000mm,82.700000mm,-40.500000mm,82.700000mm,-41.000000mm,B,-90,470
R607,0402,81.600000mm,-40.500000mm,81.600000mm,-40.500000mm,81.600000mm,-41.000000mm,B,-90,470
R340,0603,100.000000mm,-42.300000mm,100.000000mm,-42.300000mm,100.750000mm,-42.300000mm,B,0,68
R339,0603,100.000000mm,-40.600000mm,100.000000mm,-40.600000mm,100.750000mm,-40.600000mm,B,0,68
LED601,0603,79.900000mm,-31.300000mm,79.900000mm,-31.300000mm,79.900000mm,-32.050000mm,B,-90,blue
LED702,0603,107.000000mm,-29.600000mm,107.000000mm,-29.600000mm,107.000000mm,-28.850000mm,B,90,red
LED701,0603,107.000000mm,-33.000000mm,107.000000mm,-33.000000mm,107.000000mm,-33.750000mm,B,-90,red
LED704,0603,107.000000mm,-22.700000mm,107.000000mm,-22.700000mm,107.000000mm,-21.950000mm,B,90,red
LED703,0603,107.000000mm,-26.200000mm,107.000000mm,-26.200000mm,107.000000mm,-26.950000mm,B,-90,red
C620,0402,81.800000mm,-33.300000mm,81.800000mm,-33.300000mm,82.300000mm,-33.300000mm,B,0,330p
S2,SK-12D02-VG3,83.300000mm,-22.600000mm,83.300000mm,-22.600000mm,83.300000mm,-22.600000mm,T,180,unknown
R701,0603,89.500000mm,-40.700000mm,89.500000mm,-40.700000mm,90.250000mm,-40.700000mm,B,0,2.2
C704,0805,94.000000mm,-37.500000mm,94.000000mm,-37.500000mm,94.000000mm,-38.550000mm,B,-90,10u
C702,0805,91.800000mm,-37.500000mm,91.800000mm,-37.500000mm,91.800000mm,-38.550000mm,B,-90,10u
C708,0805,96.100000mm,-32.100000mm,96.100000mm,-32.100000mm,95.050000mm,-32.100000mm,B,-180,10u
U701,SO8_EP,93.200000mm,-34.450000mm,93.200000mm,-34.450000mm,91.295000mm,-37.053500mm,T,90,unknown
C707,0805,98.100000mm,-29.700000mm,98.100000mm,-29.700000mm,97.050000mm,-29.700000mm,B,-180,10u
C703,0805,86.200000mm,-37.900000mm,86.200000mm,-37.900000mm,86.200000mm,-38.950000mm,B,-90,22u
C701,0805,88.400000mm,-37.900000mm,88.400000mm,-37.900000mm,88.400000mm,-38.950000mm,B,-90,22u
L702,1008,93.600000mm,-28.700000mm,93.600000mm,-28.700000mm,92.300028mm,-28.700000mm,T,0,2.2u
C706,0805,91.700000mm,-32.700000mm,91.700000mm,-32.700000mm,90.666064mm,-32.882300mm,B,-170,10u
C705,0805,88.600000mm,-33.600000mm,88.600000mm,-33.600000mm,88.508500mm,-32.554050mm,B,95,10u
C709,0805,83.281700mm,-26.697940mm,83.281700mm,-26.697940mm,83.806635mm,-25.788665mm,B,60,10u
U306,K1-1502SA-01,76.200000mm,-62.500000mm,76.200000mm,-62.500000mm,78.750000mm,-60.100000mm,T,180,unknown
CONN4,custom_sma4,22.000000mm,-60.500000mm,22.000000mm,-60.500000mm,22.000000mm,-60.500000mm,B,90,unknown
R10,0402,27.600000mm,-58.100000mm,27.600000mm,-58.100000mm,27.100000mm,-58.100000mm,B,-180,75
R11,0402,29.400000mm,-56.100000mm,29.400000mm,-56.100000mm,29.400000mm,-56.600000mm,B,-90,75
C8,0603,26.200000mm,-60.200000mm,26.200000mm,-60.200000mm,26.630150mm,-59.585650mm,B,55,10u
R9,0402,27.600000mm,-56.600000mm,27.600000mm,-56.600000mm,27.146850mm,-56.811300mm,B,-155,120
C307,0603,42.900000mm,-50.900000mm,42.900000mm,-50.900000mm,43.430350mm,-51.430350mm,B,-45,10u
C9,0805,86.200000mm,-42.600000mm,86.200000mm,-42.600000mm,85.150000mm,-42.600000mm,B,-180,22u
R312,0402,75.700000mm,-49.400000mm,75.700000mm,-49.400000mm,75.200000mm,-49.400000mm,B,-180,120
R322,0402,72.800000mm,-50.800000mm,72.800000mm,-50.800000mm,73.300000mm,-50.800000mm,B,0,4.7k
C315,0603,73.000000mm,-49.400000mm,73.000000mm,-49.400000mm,72.250000mm,-49.400000mm,B,-180,10u
R505,0402,60.300000mm,-40.600000mm,60.300000mm,-40.600000mm,60.300000mm,-41.100000mm,B,-90,120
R504,0402,58.700000mm,-40.000000mm,58.700000mm,-40.000000mm,59.200000mm,-40.000000mm,B,0,50
C6,0402,65.291300mm,-22.300400mm,65.291300mm,-22.300400mm,65.502600mm,-22.753550mm,B,-65,330p
R702,1206,92.300000mm,-24.600000mm,92.300000mm,-24.600000mm,93.799870mm,-24.600000mm,T,180,unknown
R111,0402,76.600000mm,-43.600000mm,76.600000mm,-43.600000mm,76.953550mm,-43.953550mm,B,-45,2.2k
R112,0402,75.600000mm,-42.300000mm,75.600000mm,-42.300000mm,76.009550mm,-42.013216mm,B,35,10k
R7,0402,58.000000mm,-42.100000mm,58.000000mm,-42.100000mm,57.500000mm,-42.100000mm,B,-180,120
R8,0402,56.400000mm,-42.500000mm,56.400000mm,-42.500000mm,56.400000mm,-42.000000mm,B,90,120
R307,0402,92.300000mm,-52.800000mm,92.300000mm,-52.800000mm,91.800000mm,-52.800000mm,B,-180,2.2k
R310,0402,87.200000mm,-51.000000mm,87.200000mm,-51.000000mm,87.700000mm,-51.000000mm,B,0,2.2k
R309,0402,87.200000mm,-50.000000mm,87.200000mm,-50.000000mm,87.700000mm,-50.000000mm,B,0,2.2k
R308,0402,57.500000mm,-58.100000mm,57.500000mm,-58.100000mm,57.500000mm,-57.600000mm,B,90,470
C323,0402,53.700000mm,-58.800000mm,53.700000mm,-58.800000mm,53.700000mm,-59.300000mm,B,-90,330p
R306,0402,89.800000mm,-56.600000mm,89.800000mm,-56.600000mm,89.800000mm,-56.100000mm,B,90,1.5k
R335,0402,92.700000mm,-56.800000mm,92.700000mm,-56.800000mm,93.200000mm,-56.800000mm,B,0,470
C324,0402,89.300000mm,-48.200000mm,89.300000mm,-48.200000mm,89.300000mm,-47.700000mm,B,90,10n
R503,0603,55.300000mm,-44.500000mm,55.300000mm,-44.500000mm,54.550000mm,-44.500000mm,B,-180,2.2
R311,0603,78.300000mm,-51.200000mm,78.300000mm,-51.200000mm,78.430250mm,-50.461400mm,B,80,10
L302,0805,80.800000mm,-50.400000mm,80.800000mm,-50.400000mm,80.356250mm,-51.351650mm,B,-115,22u
R323,0402,77.900000mm,-48.600000mm,77.900000mm,-48.600000mm,77.650000mm,-49.032968mm,B,-120,4.7k
C318,0603,80.900000mm,-47.400000mm,80.900000mm,-47.400000mm,80.150000mm,-47.400000mm,B,-180,220n
U1,mxd8641,52.000000mm,-31.120000mm,52.000000mm,-31.120000mm,50.950000mm,-30.450000mm,T,0,unknown
C3,0402,51.300000mm,-31.700000mm,51.300000mm,-31.700000mm,51.300000mm,-32.200000mm,B,-90,330p
C2,0402,49.100000mm,-32.500000mm,49.100000mm,-32.500000mm,48.600000mm,-32.500000mm,B,-180,470n
R12,0402,48.600000mm,-31.400000mm,48.600000mm,-31.400000mm,49.100000mm,-31.400000mm,B,0,50
G502,shield_15.6_14.6,48.900000mm,-27.600000mm,48.900000mm,-27.600000mm,48.900000mm,-20.300000mm,T,0,unknown
T551,cx2156nl,45.000000mm,-27.300000mm,45.000000mm,-27.300000mm,42.800000mm,-25.800000mm,T,270,unknown
G501,shield_15.6_14.6,45.100000mm,-27.600000mm,45.100000mm,-27.600000mm,45.100000mm,-34.900000mm,B,0,unknown
R557,0402,41.400000mm,-23.700000mm,41.400000mm,-23.700000mm,41.900000mm,-23.700000mm,B,0,50
R552,0603,43.200000mm,-25.100000mm,43.200000mm,-25.100000mm,43.200000mm,-25.850000mm,B,-90,68
R556,0603,43.200000mm,-29.500000mm,43.200000mm,-29.500000mm,43.200000mm,-28.750000mm,B,90,68
R551,0603,41.000000mm,-25.800000mm,41.000000mm,-25.800000mm,41.482069mm,-25.225450mm,B,50,68
R554,0603,41.000000mm,-28.800000mm,41.000000mm,-28.800000mm,41.482069mm,-29.374550mm,B,-50,68
R558,0402,44.939300mm,-28.675400mm,44.939300mm,-28.675400mm,44.652516mm,-29.084950mm,B,-125,50
R553,0402,44.900000mm,-25.900000mm,44.900000mm,-25.900000mm,44.613216mm,-25.490450mm,B,125,50
R559,0402,49.200000mm,-28.600000mm,49.200000mm,-28.600000mm,49.329450mm,-29.083000mm,B,-75,50
R555,0402,48.400000mm,-24.200000mm,48.400000mm,-24.200000mm,48.400000mm,-23.700000mm,B,90,50
CONN300,custom_microusb2,91.000000mm,-62.825000mm,91.000000mm,-62.825000mm,92.300000mm,-61.700000mm,T,0,unknown
L401,0603_0805_2,65.900000mm,-45.850000mm,65.900000mm,-45.850000mm,66.800000mm,-45.850000mm,B,0,fb
L303,0603_0805_2,47.964585mm,-59.994015mm,47.964585mm,-59.994015mm,48.600985mm,-60.630285mm,B,-45,fb
L601,0603_0805_2,71.800000mm,-38.550000mm,71.800000mm,-38.550000mm,70.900000mm,-38.550000mm,B,-180,fb
L602,0603_0805_2,78.150000mm,-35.300000mm,78.150000mm,-35.300000mm,78.150000mm,-36.200000mm,B,-90,fb
L703,0603_0805_2,85.956700mm,-32.424937mm,85.956700mm,-32.424937mm,86.406700mm,-33.204400mm,B,-60,fb
L701,0603_0805_2,86.106700mm,-28.238400mm,86.106700mm,-28.238400mm,86.556737mm,-29.017863mm,B,-60,fb
